Protein A,Protein B
ADIPOR2,ADIPOQ
ADORA1,ADA
ADORA2A,ACTN2
ADORA2A,ADA
ADORA2B,ADA
ADORA2B,DCC
ADORA2B,EZR
ADORA2B,NTN1
ADORA2B,SLC9A3R2
ADPRHL2,C10orf4
ADPRHL2,HEXDC
ADRA1A,ADRA1B
ADRA1A,ADRA1D
ADRA1A,CXCR1
ADRA1A,CXCR2
ADRA1A,FLNC
ADRA1A,RGS2
ADRA1B,FLNC
ADRA1D,FLNC
ADRA1D,SNTA1
ADRA1D,SNTB1
ADRA1D,SNTB2
ADRA1D,SNTG1
ADRA2A,ADRB1
ADRA2A,EIF2B1
ADRA2C,EIF2B1
ADRB1,ARRB1
ADRB1,DLG1
ADRB1,GOPC
ADRB1,GRB2
ADRB1,SH3GL2
ADRB1,SH3GL3
ADRB2,ARRB1
ADRB2,GRB2
ADRB2,IL1B
ADRB2,NEDD4
ADRB3,ADRB2
ADRBK1,ADRA2A
ADRBK1,ARRB1
ADRBK1,BDKRB2
ADRBK1,EGF
ADRBK1,FPR1
ADRBK1,MC4R
ADRBK1,OPRD1
ADRBK1,PDE6G
ADRBK1,PEBP1
ADRBK1,RPLP2
ADRBK1,SNCA
ADRBK1,SRC
ADRBK2,BDKRB2
ADRBK2,CCR5
ADRBK2,OPRM1
ADRM1,DDI1
ADRM1,PSMD1
ADRM1,PSMD14
ADRM1,PSMD4
ADRM1,RAD23B
ADRM1,RPN1
ADRM1,RPN2
ADRM1,UBQLN1
ADRM1,UBQLN2
ADRM1,UCHL5
ADSS,ACTA1
AEBP1,TCF3
AEBP2,EED
AEBP2,RBBP4
AEBP2,SUZ12
AES,AR
AES,ATN1
AES,CCL7
AES,GABARAP
AES,GFI1B
AES,GTF2E1
AES,HMGB1
AES,MED31
AES,RELA
AES,RPL18A
AES,SH3GL3
AES,SNCAIP
AFAP1,ACTA1
AFAP1,ACTC1
AFAP1,PRKCA
AFAP1,PRKCB
AFAP1,PRKCD
AFAP1,PRKCE
AFAP1,PRKCG
AFAP1,PRKCZ
AFAP1L2,RASA1
AFAP1L2,SRC
AFF1,MLLT3
AFF1,SIAH1
AFF1,SIAH2
AFF1,SMAD9
AFF4,CCNT1
AFF4,CDK9
AFP,SGSM2
AFTPH,AP1G1
AFTPH,AP1G2
AFTPH,GGA2
AFTPH,GGA3
AGA,IGF2R
AGAP1,GUCY1A3
AGAP1,GUCY1B3
AGAP2,EPB41L1
AGAP2,PIK3R1
AGAP2,PLCG1
AGER,HMGB1
AGER,S100A1
AGER,S100B
AGFG2,EPS15
AGGF1,CCDC85B
AGGF1,PLDN
AGGF1,TNFSF12
AGL,NHLRC1
AGL,PRKAB1
AGPS,GNPAT
