mir,gene
hsa-miR-21-5p,BASP1
hsa-miR-122-5p,BAX
hsa-miR-128-3p,BAX
hsa-miR-214-3p,BAX
hsa-miR-298,BAX
hsa-miR-365a-3p,BAX
hsa-miR-766-3p,BAX
hsa-miR-125b-5p,BBC3
hsa-miR-149-5p,BBC3
hsa-miR-221-3p,BBC3
hsa-miR-222-3p,BBC3
hsa-miR-296-5p,BBC3
hsa-miR-483-3p,BBC3
hsa-miR-106a-5p,BCL10
hsa-miR-30a-5p,BCL11A
hsa-miR-486-3p,BCL11A
hsa-miR-125b-5p,BCL2
hsa-miR-126-3p,BCL2
hsa-miR-135a-5p,BCL2
hsa-miR-136-5p,BCL2
hsa-miR-143-3p,BCL2
hsa-miR-148a-3p,BCL2
hsa-miR-153-3p,BCL2
hsa-miR-15a-5p,BCL2
hsa-miR-15b-5p,BCL2
hsa-miR-16-5p,BCL2
hsa-miR-17-5p,BCL2
hsa-miR-181a-5p,BCL2
hsa-miR-181b-5p,BCL2
hsa-miR-181c-5p,BCL2
hsa-miR-181d-5p,BCL2
hsa-miR-182-5p,BCL2
hsa-miR-184,BCL2
hsa-miR-18a-5p,BCL2
hsa-miR-1915-3p,BCL2
hsa-miR-192-5p,BCL2
hsa-miR-195-5p,BCL2
hsa-miR-200b-3p,BCL2
hsa-miR-200c-3p,BCL2
hsa-miR-204-5p,BCL2
hsa-miR-205-5p,BCL2
hsa-miR-20a-5p,BCL2
hsa-miR-211-5p,BCL2
hsa-miR-21-5p,BCL2
hsa-miR-224-5p,BCL2
hsa-miR-24-2-5p,BCL2
hsa-miR-29a-3p,BCL2
hsa-miR-29b-3p,BCL2
hsa-miR-29c-3p,BCL2
hsa-miR-30b-5p,BCL2
hsa-miR-33b-5p,BCL2
hsa-miR-34a-5p,BCL2
hsa-miR-34b-3p,BCL2
hsa-miR-34b-5p,BCL2
hsa-miR-34c-5p,BCL2
hsa-miR-365a-3p,BCL2
hsa-miR-429,BCL2
hsa-miR-448,BCL2
hsa-miR-449a,BCL2
hsa-miR-451a,BCL2
hsa-miR-494-3p,BCL2
hsa-miR-497-5p,BCL2
hsa-miR-503-5p,BCL2
hsa-miR-630,BCL2
hsa-miR-708-5p,BCL2
hsa-miR-7-5p,BCL2
hsa-let-7c-5p,BCL2L1
hsa-let-7g-5p,BCL2L1
hsa-miR-133a-3p,BCL2L1
hsa-miR-491-5p,BCL2L1
hsa-miR-18a-5p,BCL2L10
hsa-miR-106b-5p,BCL2L11
hsa-miR-10b-5p,BCL2L11
hsa-miR-148a-3p,BCL2L11
hsa-miR-17-5p,BCL2L11
hsa-miR-181a-5p,BCL2L11
hsa-miR-19a-3p,BCL2L11
hsa-miR-19b-3p,BCL2L11
hsa-miR-214-3p,BCL2L11
hsa-miR-24-3p,BCL2L11
hsa-miR-25-3p,BCL2L11
hsa-miR-301a-3p,BCL2L11
hsa-miR-32-5p,BCL2L11
hsa-miR-363-3p,BCL2L11
hsa-miR-494-3p,BCL2L11
hsa-miR-92a-3p,BCL2L11
